Data,Suspeitos,Confirmados,Descartados,Notificados,Recuperados,Obitos,Boletin
21/07,0,225,574,799,111,4,https://i.imgur.com/SK7RGNK.jpg
22/07,0,234,617,851,119,4,https://i.imgur.com/Na9DTki.jpg
23/07,0,243,654,897,131,6,https://i.imgur.com/fs0JU93.jpg
24/07,0,251,672,923,138,6,https://i.imgur.com/sp9fLKU.jpg
25/07,0,255,676,931,139,6,https://i.imgur.com/HsXHm5s.jpg
26/07,0,258,679,937,139,6,https://i.imgur.com/TL54C5n.jpg
27/07,0,267,696,963,159,6,https://i.imgur.com/FThDt9h.jpg
28/07,0,273,709,982,171,6,https://i.imgur.com/rRV0t3w.jpg
30/07,0,285,734,1019,193,6,https://i.imgur.com/cFO0IT2.jpg
31/07,0,288,745,1033,193,6,https://i.imgur.com/NNn6g1S.jpg
01/08,0,291,754,1045,194,6,https://i.imgur.com/AhaVOX5.jpg
02/08,0,291,755,1046,208,6,https://i.imgur.com/6SPBpyW.jpg
03/08,0,294,762,1056,216,6,https://i.imgur.com/uMRHriX.jpg
04/08,0,299,787,1086,223,6,https://i.imgur.com/HiuVtFW.jpg
05/08,0,304,798,1102,231,6,https://i.imgur.com/zZZ4INi.jpg
06/08,0,315,798,1113,235,6,https://i.imgur.com/PbAt1KF.jpg
07/08,0,325,807,1132,240,7,https://i.imgur.com/Dzk5CaS.jpg
09/08,0,331,807,1133,253,8,https://i.imgur.com/lin1sRj.jpg
10/08,0,336,814,1150,261,8,https://i.imgur.com/rL4pi6U.jpg
11/08,0,343,816,1159,263,8,https://i.imgur.com/m1Y4aQV.jpg
12/08,0,355,825,1180,268,9,https://i.imgur.com/ZVa6Ep6.png
13/08,0,360,837,1197,269,9,https://i.imgur.com/WikP6F9.png
14/08,0,367,849,1216,271,9,https://i.imgur.com/whn4ntj.jpg
15/08,0,372,861,1233,271,9,https://i.imgur.com/QGnNcia.png
16/08,0,376,866,1242,276,9,https://i.imgur.com/SM1rppb.jpg
17/08,0,381,871,1252,281,9,https://i.imgur.com/c9aWH9l.jpg
18/08,0,393,879,1272,286,9,https://i.imgur.com/KRSKSMN.jpg
19/08,0,397,887,1284,297,9,https://i.imgur.com/TNdwIex.png
20/08,0,397,889,1286,304,9,https://i.imgur.com/YKAUeHi.jpg
21/08,0,401,889,1290,307,9,https://i.imgur.com/ZqDW9gh.png
22/08,0,404,894,1298,314,9,https://i.imgur.com/CduSWQ3.png
23/08,0,409,898,1303,314,9,https://i.imgur.com/LvHitwy.jpg
24/08,0,418,901,1319,324,9,https://i.imgur.com/lluYzku.png
25/08,0,421,1043,1464,338,9,https://i.imgur.com/EhTUnCm.jpg
26/08,0,423,1045,1468,344,9,https://i.imgur.com/BTE6dMO.jpg
27/08,0,425,1055,1480,346,9,https://i.imgur.com/cuTsBQb.jpg
28/08,0,426,1058,1484,350,9,https://i.imgur.com/oYSqHXS.png
29/08,0,427,1074,1501,355,9,https://i.imgur.com/eo6pbIs.jpg
